ref,famille,famille_fr,texte
I11,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date de naissance de l’usager (obligatoire)."
I12,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date de décès de l’utilisateur."
I13,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le nom légal à la naissance de la mère de l’usager (obligatoire)."
I14,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, vermet de saisir le prénom légal de la mère de l’usager (obligatoire)."
I15,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le nom légal à la naissance du père de l’usager (obligatoire)."
I16,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le prénom du père de l’usager (obligatoire)."
I17,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro d’assurance maladie de l’usager de la province de Québec (obligatoire)."
I18,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date d’expiration inscrite sur la carte d’assurance maladie du Québec (obligatoire si NAM existe)."
I19,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro d’identification unique attribué par la RAMQ. Il est unique et identifie un seul individu. Il est non visible aux utilisateurs (factultaif)."
I20,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro attribué par une municipalité ou une autorité compétente pour identifier un immeuble dans une voie de communication (factultaif)."
I21,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir l'identifiant du complément d’information relatif au numéro d’immeuble (factultaif)."
I22,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la première ligne de l’adresse, et contient le type de voie, le nom de rue et le point cardinal (factultaif)."
I23,I,Interoperabilite,"Permet de saisir, en format libre, à la suite de l’adresse ligne 1 le nom de la municipalité des adresses hors Québec, ou le nom de la municipalité, le nom de l’état et le code postal, pour les adresses hors Canada (factultaif)."
I24,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir, en format libre, à la suite de l’adresse ligne 2 le nom du pays pour les adresses hors Canada quand le pays n’existe pas dans la table du champ « Pays » (factultaif)."
I25,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la case postale et la succursale d’une adresse postale (factultaif)."
I26,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir de façon unique le type de subdivision dans un immeuble (factultaif)."
I27,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir l’ensemble des caractères numériques jusqu’au premier caractère alphabétique du numéro de subdivision de l’immeuble (factultaif)."
I28,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre permet de saisir le code géographique de la municipalité, tel qu’il a été assigné par l’Institut de la statistique du Québec (ISQ) (factultaif)."
I29,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la description de la municipalité correspondant au code de municipalité (factultaif)."
I30,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le code postal de l’adresse reconnue par Société canadienne des postes (obligatoire lorsque l'usager est dans un contexte d'admission ou d'inscription)."
I31,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la province dans lequel se retrouve l’adresse de résidence permanente (principale) de l’usager (factultaif)."
I32,I,Interoperabilite,Permet de saisir le pays dans lequel se retrouve l’adresse de résidence permanente (principale) de l’usager (factultaif).
I33,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le type de coordonnée de communication. Cet élément est généralement associé à un numéro de téléphone (facultatif)."
I34,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro de téléphone de l’usager (facultatif)."
I35,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la raison pour laquelle le NAM du Québec n’apparaît pas au dossier informatisé de l’usager (obligatoire si NAM vide)."
I36,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le code d’établissement reconnu par Santé Québec où le dossier local est situé (facultatif)."
I37,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir de saisir le code de l’installation reconnu par Santé Québec où le dossier local est situé (facultatif)."
I38,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro de dossier local est attribué de façon automatique par l’IPL à un usager (physique ou virtuel) qui reçoit des services dans l’installation concernée (obligatoire)."
I39,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir permet de saisir le code (OID) ou le nom de l’application source dans lequel le dossier est conservé (facultatif)."
I40,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro de fiche d’identification de l’usager est un identifiant technologique attribué par l'IPMÉ de l'établissement et est en lien avec les numéros de dossiers locaux de l'usager (obligatoire dans l'IPMÉ)."
I41,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le nom du/de la conjoint(e) de l’usager (facultatif)."
I42,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le prénom du/de la conjoint(e) de l’usager (facultatif)."
I43,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir tout autre nom utilisé pour identifier un usager (facultatif)."
I44,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir tout autre prénom utilisé pour identifier un usager (facultatif)."
I45,I,Interoperabilite,"Permet de saisir le document officiel qui appuie l'identité d'un individu. Document qui vient appuyer officiellement l’identité d’un individu. Une pièce étatique est requise pour l’usager non assuré (Ex. : nouveau-né, hors province, hors pays, militaire, etc.) (obligatoire)."
I46,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le numéro de la pièce étatique de l'usager non assuré (ex. : nouveau-né, hors province, hors pays, militaire, etc.) (obligatoire si l'élément 30100034 est sélectionné)."
I47,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le pays de naissance de l'usager (facultatif)."
I48,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la langue généralement utilisée par l’usager (facultatif)."
I49,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le territoire associé à l'adresse (facultatif)."
I50,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le type d'adresse de l'usager (facultatif)."
I51,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date de début à laquelle l’adresse est en vigueur (facultatif)."
I52,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date de fin à laquelle l’adresse est en vigueur (facultatif)."
I53,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir l’adresse de courrier électronique à laquelle l’usager veut recevoir une correspondance électronique (facultatif)."
I54,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le type d’équipement utilisé pour communiquer (facultatif)."
I55,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date de début à laquelle l’adresse est en vigueur (facultatif)."
I56,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir la date de fin à laquelle l’adresse est en vigueur (facultatif)."
I57,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir l’adresse de courrier électronique à laquelle l’usager veut recevoir une correspondance électronique (facultatif)."
I58,I,Interoperabilite,"Lorsqu'il y a arrimage avec les actifs informationnels d'intérêt commun contenant des renseignements de santé ou de services sociaux, votre PST permet de saisir le type d’équipement utilisé pour communiquer (facultatif)."
IA1,IA,Intelligence artificielle,"Si votre solution fait appel à une composante en intelligence artificielle (solution ayant recours à l’intelligence artificielle – SARIA), ceci doit être clairement mentionné dans la documentation de la SARIA."
IA10,IA,Intelligence artificielle,"La stratégie d'évaluation des résultats du(des) modèle(s) est accessible et contient les métriques et les résultats positifs, les négatifs, les faux positifs et les faux négatifs, le cas échéant."
IA11,IA,Intelligence artificielle,"Dans le cas de l'utilisation de l'IA générative pour la production de résultats, un rapport décrivant le degré de variabilité des résultats pour une même situation doit être fourni."
IA12,IA,Intelligence artificielle,"Dans le cas de l'utilisation de l'IA générative pour la production de résultats, un rapport décrivant des tests d'injection de requêtes malveillantes doit permettre à l'acquéreur d'établir le risque inhérent à la conception de requêtes de la SARIA et le besoin de contrôle, formation et explicabilité liés à la formulation des requêtes dans la SARIA."
IA13,IA,Intelligence artificielle,La documentation de la SARIA mentionne l'utilisation envisagée et les groupes sociaux ou conditions qui doivent être présents dans le contexte d'utilisation.
IA14,IA,Intelligence artificielle,La documentation de la SARIA mentionne ses limitations et les mises en garde et éléments à surveiller pendant l'utilisation de la SARIA.
IA15,IA,Intelligence artificielle,"Des mesures d’identification, contrôle, atténuation et suivi des biais indésirables sont prises et documentées pendant le développement de la SARIA."
IA16,IA,Intelligence artificielle,"La documentation de la SARIA mentionne les utilisations similaires mais non récommandées et d'autres utilisations non recommandées de la SARIA, ainsi que les groupes sociaux et conditions qui ne doivent pas être présents dans le contexte d'utilisation de la SARIA."
IA17,IA,Intelligence artificielle,"Lorsque des jeux de données sont utilisés pour l'entraînement, la validation ou les tests du(des) modèle(s) de la SARIA, ils sont identifiés dans une liste accessible."
IA18,IA,Intelligence artificielle,"Le(s) type(s) d'IA (symbolique, apprentissage automatique ou générative ou autres) qui font partie de la SARIA sont mentionnés dans sa documentation."
IA19,IA,Intelligence artificielle,"Si la SARIA a été implantée ailleurs, un rapport avec les défis, bénéfices, risques soulevés et indicateurs de performance utilisés dans les implantations précédentes est fourni à l'acquéreur."
IA2,IA,Intelligence artificielle,Une politique de confidentialité couvrant l'utilisation du système d'IA en langage simple et clair est publiée sur le site Internet de votre compagnie.
IA20,IA,Intelligence artificielle,Le fournisseur s'engage à ne pas changer les types d'IA ou les modèles utilisés dans la SARIA sans approbation explicite de l'acquéreur.
IA21,IA,Intelligence artificielle,Un plan d'amélioration et d'évolution de la SARIA est présenté par le fournisseur. Ce plan suit les mêmes conditions et a la même rigueur que le processus de vérification globale initial.
IA22,IA,Intelligence artificielle,Le plan d'amélioration et d'évolution de la SARIA présente un processus d'évaluation continue après l'implantation de la SARIA. Ce processus prend en considération le niveau de risques identifiés dans le développement et les essais de la SARIA.
IA23,IA,Intelligence artificielle,"Le plan d'amélioration et d'évolution de la SARIA doit considérer la réévaluation des critères et méthodes d'anonymisation de données, l'intégration de stratégies d'explicabilité sur des limitations identifiées dans l'utilisation, des changements pour améliorer la gouvernance de la SARIA ou des améliorations du(des) modèle(s) de la SARIA, en collaboration avec l'acquéreur."
IA24,IA,Intelligence artificielle,"Une description de l'architecture de la SARIA et l'interaction entre ses composantes doit être fournie. La description doit contenir les concepts d'IA, les approches et techniques utilisées dans le traitement des données et la création du(des) modèle(s) de sorte à faciliter l'analyse de chercheurs en IA responsable."
IA25,IA,Intelligence artificielle,Une formation ou un document comprenant les notions nécessaires pour que l'utilisateur comprenne le fonctionnement de la SARIA et le rôle de l'utilisateur en tant que vérificateur des résultats et intégrateur de ces résultats dans le processus de travail doit être produit par le fournisseur.
IA26,IA,Intelligence artificielle,La documentation de la SARIA inclut l'empreinte environnementale du développement et une estimation de l'empreinte environnementale de l'utilisation de la SARIA.
IA27,IA,Intelligence artificielle,"Lorsque l'anonymisation ou la dépersonnalisation de données est utilisée pour le développement ou l’utilisation de la SARIA, les méthodes et critères utilisés sont documentés."
IA28,IA,Intelligence artificielle,Les mesures pour atténuer les risques de la SARIA sont vulgarisées dans un document compréhensible par des non-spécialistes en IA.
IA29,IA,Intelligence artificielle,"Une description de la façon dont le fournisseur évalue et minimise les répercussions des systèmes d'IA sur la durabilité environnementale, y compris en ce qui concerne la programmation économe en énergie et les techniques de conception, de formation et d'utilisation efficaces de l'IA est fournie."
IA3,IA,Intelligence artificielle,"Les raisons, les principaux facteurs et les paramètres régissant les décisions fondées sur un traitement automatisé des renseignements personnels sont-ils clairement établis?"
IA30,IA,Intelligence artificielle,"Dans le cas d’utilisation de la technique des agents autonomes dans la SARIA, une description des modalités de contrôle et de surveillance des agents doit être fournie ainsi que les modalités de communication d'incidents à l'acquéreur."
IA31,IA,Intelligence artificielle,"Si des données synthétiques sont utilisées dans l'entraînement du(des) modèle(s) de la SARIA, l'explication des raisons qui ont mené au choix des données synthétiques, comment elles ont été utilisées et dans quelle mesure ces données procurent la réprésentativité souhaitée doit être documentée."
IA32,IA,Intelligence artificielle,"Idéalement, l'entraînement, la validation et les tests du(des) modèle(s) de la SARIA ont utilisé des jeux de données différents. La méthodologie utilisée pour l'obtention de jeux de données pour ces trois étapes doit être documentée."
IA33,IA,Intelligence artificielle,Le fournisseur accepte de collaborer avec des chercheurs en IA responsable et avec un comité formé par des potentiels utilisateurs et usagers pour une analyse de risques et recommandations concernant la SARIA.
IA34,IA,Intelligence artificielle,"Le fournisseur s'engage à tenir un registre ou à collaborer aux efforts d'un organisme indépendant pour tenir un registre des risques qui résultent de l’utilisation de la SARIA, du(des) modèle(s) qui intégrent la SARIA ou des jeux de données utilisés dans le développement de la SARIA."
IA35,IA,Intelligence artificielle,"Le fournisseur s'engage à communiquer à l'acquéreur tout nouveau risque qui résulte de l’utilisation de la SARIA, du(des) modèle(s) qui intégrent la SARIA ou des jeux de données utilisées pour le développement de la SARIA. Dans le cas d'un développement secondaire, le fournisseur s'engage à exiger du développeur primaire la communication de ces riques."
IA36,IA,Intelligence artificielle,Le fournisseur s'engage à ne pas utiliser pour l'entraînement du(des) modèle(s) de la SARIA des jeux de données corrompues ou dont l'intégrité peut avoir été compromise dans les cinq ans avant leur utilisation.
IA37,IA,Intelligence artificielle,"Le fournisseur s'engage à surveiller les événements qui auraient pu corrompre ou compromettre l'intégrité des jeux de données utilisés pour l'entraînement du(des) modèle(s) de la SARIA avant leur utilisation et d'en informer l'acquéreur, le cas échéant, pendant la durée de vie de la SARIA."
IA38,IA,Intelligence artificielle,"Dans le cas de l’utilisation de jeux de données pour l'entraînement du(des) modèle(s) de la SARIA, le fournisseur doit avoir acquis les droits sur ces jeux de données, notamment lorsqu’il s’agit de renseignements personnels."
IA39,IA,Intelligence artificielle,La communication des renseignements personnels par toute composante de la SARIA ou entre composantes de la SARIA et composantes extérieures est faite de manière à en assurer une protection qui répond aux exigences des lois du Québec.
IA4,IA,Intelligence artificielle,La SARIA doit informer la personne concernée que la décision a été rendue sur la base d'un traitement automatisé de ses renseignements personnels.
IA40,IA,Intelligence artificielle,"Aucune communication de renseignements personnels, qu'ils soient d'usagers ou d'utilisateurs, ne sera faite par aucune composante de la SARIA (y compris les appels à des modèles d'IA générative) à l'extérieur du territoire du Québec. Si c'est le cas, la personne dont le renseignement personnel sera communiqué doit y consentir de façon informée, explicite et inéquivoque."
IA41,IA,Intelligence artificielle,L'acquéreur ainsi que le Bureau de certification doivent être informés de toute communication ou vente de données liées à la SARIA.
IA42,IA,Intelligence artificielle,Tout produit développé à partir des données d'utilisation de la SARIA ou des données auxquelles le(s) modèle(s) de la SARIA est (sont) exposés en raison de la SARIA devra faire objet d'une communication à l'acquéreur.
IA43,IA,Intelligence artificielle,"L'acquéreur doit être informé de toute tierce partie de la SARIA, y compris des compagnies, organismes ou particuliers qui ont démontré au fournisseur de l'intérêt sur les données d'utilisation de la SARIA ou à qui le fournisseur développera n'importe quel type de produit créé à partir des données d'utilisation de la SARIA ou des données auxquelles le(s) modèle(s) de la SARIA est (sont) exposé(s) en raison de la SARIA."
IA44,IA,Intelligence artificielle,L'acquéreur doit être informé de toute analyse des données d'utilisation de la SARIA ou toute donnée liée à l'utilisation de la SARIA non solicitée par l'acquéreur lui-même.
IA45,IA,Intelligence artificielle,"La SARIA est dotée de fonctions qui permettent à l'acquéreur d'inhiber l'appel à un, plusieurs ou tous les modèle(s) de la SARIA, dans le cas d'une défaillance, d'une panne, d'un refus de l'usager ou d'une décision administrative concernant la SARIA."
IA46,IA,Intelligence artificielle,Le fournisseur s'engage à ne pas permettre – ou d'une quelconque façon faciliter – l'apprentissage automatique sur les données d'utilisation de la SARIA ou sur des données liées à l'utilisation de la SARIA sans l'autorisation explicite de l'acquéreur.
IA47,IA,Intelligence artificielle,"Les accès à la SARIA sont journalisés et retraçables, ainsi que les prises de décision, réactions et commentaires effectués par les utilisateurs."
IA48,IA,Intelligence artificielle,"La journalisation des accès, décisions, réactions et commentaires propres à l'utilisateur est accessible pour la période pendant laquelle les décisions que la SARIA appuie peuvent être questionnées en cour."
IA49,IA,Intelligence artificielle,"Les accès à la SARIA sont sécurisés de façon à ce que l’utilisateur ne puisse pas consulter des données, des informations ou des documents auxquels il n'a pas l'autorisation d’accéder en raison de son emploi ou de son rôle."
IA5,IA,Intelligence artificielle,"À la demande de la personne concernée, la SARIA doit permettre de fournir les renseignements personnels utilisés, les raisons et facteurs ayant mené à la décision, et le droit de rectification des renseignements personnels."
IA50,IA,Intelligence artificielle,Les accès à la SARIA sont sécurisés de façon à ce que l’utilisateur ne puisse pas réaliser de tâches pour lesquelles il n’a pas l'autorisation de le faire en raison de son emploi ou de son rôle.
IA51,IA,Intelligence artificielle,Les données d’utilisation et les résultats de la SARIA sont journalisés et accessibles par l'acquéreur.
IA52,IA,Intelligence artificielle,"Il y a un mécanisme qui permet à l'acquéreur de suivre et d'extraire l'approbation et les changements effectués par les utilisateurs dans les résultats de la SARIA, ainsi que les commentaires et les réactions des utilisateurs."
IA53,IA,Intelligence artificielle,"Lorsque c'est possible, la décision ou la recommandation finale de la SARIA est composée de résultats intermédiaires que l'utilisateur peut consulter."
IA54,IA,Intelligence artificielle,La SARIA est dotée de fonctions permettant à l'utilisateur de consulter et d'extraire les décisions intermédiaires validées ou modifiées par lui-même dans le processus de décision ou de recommandation de la SARIA.
IA55,IA,Intelligence artificielle,La SARIA est dotée de fonctions qui permettent à l'acquéreur de conférer des accès qui respectent les rôles et responsabilités des personnes du programme ou service dans lequel la SARIA sera utilisée.
IA56,IA,Intelligence artificielle,"Si le(s) modèle(s) de la SARIA s'adapte(nt) par apprentissage automatique à partir des données d'entrée fournies, la SARIA possède des fonctionnalités pour accompagner, analyser, planifier et exécuter l'adaptation. L'adaptation devrait être faite selon l'approbation de l'acquéreur."
IA57,IA,Intelligence artificielle,"Dans le cas d'utilisation de l'IA générative pour la production de résultats, les sources utilisées pour générer les résultats doivent être présentées dans les résultats et l'accès à ces sources doit être intégré dans l'interface personne-système de la SARIA."
IA58,IA,Intelligence artificielle,Les résultats inadéquats de la SARIA peuvent être signalés par les utilisateurs comme tels dans la SARIA. Ils sont journalisés et peuvent être extraits par l'acquéreur.
IA59,IA,Intelligence artificielle,"Les limitations de la SARIA et les mises en garde par rapport à son utilisation sont présentes dans les écrans d'utilisation de la SARIA, de façon à ce que l'utilisateur sache quels aspects des résultats doivent être vérifiés avec plus d'attention (stratégie d'explicabilité)."
IA6,IA,Intelligence artificielle,Offrir à la personne concernée la possibilité de présenter ses observations à un membre du personnel en mesure de réviser la décision.
IA60,IA,Intelligence artificielle,Les écrans de la SARIA menent l'utilisateur à comprendre qu’il est toujours possible de ne pas l’utiliser ou de ne pas accepter au moins une de ses recommandations.
IA61,IA,Intelligence artificielle,"Les écrans de la SARIA placent l'utilisateur en contrôle des résultats et du processus. Si l'utilisateur peut changer les résultats de la SARIA, la SARIA ne peut pas changer les validations, les résultats ni aucun autre intrant humain dans la SARIA après la validation finale de l'utilisateur."
IA62,IA,Intelligence artificielle,"Les écrans et la présentation d'information dans la SARIA aident l’utilisateur à comprendre ce que le(s) modèle(s) de la SARIA fait(font) et quelles sont les données, les paramètres ou le contexte pris en considération pour la décision ou la recommandation de la SARIA."
IA63,IA,Intelligence artificielle,La version de la SARIA est toujours visible dans ses écrans et change lorsqu’une mise à jour est effectuée.
IA64,IA,Intelligence artificielle,La version de la SARIA utilisée dans un résultat est mentionnée dans ce résultat.
IA65,IA,Intelligence artificielle,"Dans le cas d’utilisation de la technique des agents autonomes, des modalités de contrôle et surveillance des agents doivent faire partie de la SARIA."
IA66,IA,Intelligence artificielle,La SARIA possède des points de contrôle automatiques des appels aux composantes extérieures à la SARIA et une stratégie de continuation dans le cas de défaillance de ces composantes.
IA67,IA,Intelligence artificielle,"La présentation de publicité interne de la SARIA (alertes de nouvelles fonctionnalités, trucs et astuces ou d'autres contenus non directement liés à l'utilisation de la SARIA dans un cas concret) doit être limitée à l'intérieur des deux premières minutes d'utilisation de la SARIA. Malgré ce qui est dit, il est interdit d'avoir de la publicité de nature commerciale dans la SARIA."
IA68,IA,Intelligence artificielle,"Dans la SARIA, aucun mot, élément visuel ou sonore, mouvement ou temps de réponse de l'utilisateur n'est utilisé comme déclencheur d'associations ou d'actions commanditées"
IA69,IA,Intelligence artificielle,Aucune technique subliminale n'est utilisée dans la SARIA.
IA7,IA,Intelligence artificielle,La SARIA doit permettre la révision de la décision par un humain.
IA8,IA,Intelligence artificielle,Un processus d'essais a été accompli pour identifier les différences de comportement de la SARIA face aux conditions ou aux groupes sociaux présents dans le contexte d'utilisation de la SARIA.
IA9,IA,Intelligence artificielle,Un processus d'essais a été accompli pour établir le niveau d'adéquation de la SARIA à l'utilisation envisagée
P01.01,P,Protection des renseignements personnels,Votre organisation dispose d'une politique de protection de la vie privée / protection des renseignements personnels
P01.02,P,Protection des renseignements personnels,"La protection des renseignements personnels est encadrée au sein de votre organisation par des politiques, processus, directives, procédures ou autres instructions."
P01.03,P,Protection des renseignements personnels,La politique de confidentialité régissant la collecte et l'utilisation des renseignements par votre produit ou service technologique est facilement consultable par l'utilisateur.
P01.04,P,Protection des renseignements personnels,"Démontrer que vous avez établi des politiques et des pratiques encadrant la gouvernance des renseignements personnels et publier de l’information détaillée sur celles-ci en termes simples et clairs sur le site Internet de l’entreprise ou, si elle n’a pas de site, par tout autre moyen approprié."
P01.05,P,Protection des renseignements personnels,"Les politiques de votre entreprise détaillent-elles clairement quelles informations sont collectées, conservées, communiquées et détruites ?"
P02.01,P,Protection des renseignements personnels,"Un responsable de la PRP est chargé de la mise en œuvre des politiques, procédures et pratiques en matière de PRP."
P02.02,P,Protection des renseignements personnels,"Prouver que vous avez appuyé la personne responsable de la PRP avec les ressources nécessaires (humaines, techniques et financières) pour assurer la réussite de votre mise en conformité."
P02.03,P,Protection des renseignements personnels,Un responsable de la PRP a été impliqué dans le projet de développement de votre produit ou service technologique.
